local,ano,genero,raça,nível_ensino,rend_real_habitual
Fortaleza,2016,Mulher,Preta,Superior incompleto ou equivalente,"R$ 1.697,01"
Fortaleza,2016,Homem,Branca,Superior completo,"R$ 8.729,70"
Fortaleza,2016,Homem,Outros,Superior completo,"R$ 7.805,57"
Fortaleza,2016,Homem,Parda,Superior completo,"R$ 8.135,41"
Fortaleza,2016,Homem,Preta,Superior completo,"R$ 3.769,66"
Fortaleza,2016,Mulher,Branca,Superior completo,"R$ 5.375,92"
Fortaleza,2016,Mulher,Outros,Superior completo,"R$ 3.387,43"
Fortaleza,2016,Mulher,Parda,Superior completo,"R$ 5.677,69"
Fortaleza,2016,Mulher,Preta,Superior completo,"R$ 2.076,32"
Fortaleza,2017,Homem,Branca,Sem instrução e menos de 1 ano de estudo,"R$ 2.377,48"
Fortaleza,2017,Homem,Parda,Sem instrução e menos de 1 ano de estudo,"R$ 1.280,56"
Fortaleza,2017,Homem,Preta,Sem instrução e menos de 1 ano de estudo,"R$ 1.229,39"
Fortaleza,2017,Mulher,Branca,Sem instrução e menos de 1 ano de estudo,"R$ 983,36"
Fortaleza,2017,Mulher,Parda,Sem instrução e menos de 1 ano de estudo,"R$ 790,64"
Fortaleza,2017,Mulher,Preta,Sem instrução e menos de 1 ano de estudo,"R$ 2.040,82"
Fortaleza,2017,Homem,Branca,Fundamental incompleto ou equivalente,"R$ 1.824,09"
Fortaleza,2017,Homem,Parda,Fundamental incompleto ou equivalente,"R$ 1.382,93"
Fortaleza,2017,Homem,Preta,Fundamental incompleto ou equivalente,"R$ 1.404,20"
Fortaleza,2017,Mulher,Branca,Fundamental incompleto ou equivalente,"R$ 969,42"
Fortaleza,2017,Mulher,Outros,Fundamental incompleto ou equivalente,"R$ 1.243,62"
Fortaleza,2017,Mulher,Parda,Fundamental incompleto ou equivalente,"R$ 988,51"
Fortaleza,2017,Mulher,Preta,Fundamental incompleto ou equivalente,"R$ 910,43"
Fortaleza,2017,Homem,Branca,Fundamental completo ou equivalente,"R$ 1.845,76"
Fortaleza,2017,Homem,Outros,Fundamental completo ou equivalente,"R$ 3.187,68"
Fortaleza,2017,Homem,Parda,Fundamental completo ou equivalente,"R$ 1.708,26"
Fortaleza,2017,Homem,Preta,Fundamental completo ou equivalente,"R$ 1.530,30"
Fortaleza,2017,Mulher,Branca,Fundamental completo ou equivalente,"R$ 1.078,16"
Fortaleza,2017,Mulher,Parda,Fundamental completo ou equivalente,"R$ 1.141,09"
Fortaleza,2017,Mulher,Preta,Fundamental completo ou equivalente,"R$ 1.411,20"
Fortaleza,2017,Homem,Branca,Médio incompleto ou equivalente,"R$ 2.148,12"
Fortaleza,2017,Homem,Parda,Médio incompleto ou equivalente,"R$ 1.704,50"
Fortaleza,2017,Homem,Preta,Médio incompleto ou equivalente,"R$ 1.058,54"
Fortaleza,2017,Mulher,Branca,Médio incompleto ou equivalente,"R$ 885,85"
Fortaleza,2017,Mulher,Outros,Médio incompleto ou equivalente,"R$ 2.487,91"
Fortaleza,2017,Mulher,Parda,Médio incompleto ou equivalente,"R$ 1.093,59"
Fortaleza,2017,Mulher,Preta,Médio incompleto ou equivalente,"R$ 501,28"
Fortaleza,2017,Homem,Branca,Médio completo ou equivalente,"R$ 2.755,61"
Fortaleza,2017,Homem,Outros,Médio completo ou equivalente,"R$ 1.592,68"
Fortaleza,2017,Homem,Parda,Médio completo ou equivalente,"R$ 2.320,22"
Fortaleza,2017,Homem,Preta,Médio completo ou equivalente,"R$ 2.008,48"
Fortaleza,2017,Mulher,Branca,Médio completo ou equivalente,"R$ 1.600,38"
Fortaleza,2017,Mulher,Outros,Médio completo ou equivalente,"R$ 318,54"
Fortaleza,2017,Mulher,Parda,Médio completo ou equivalente,"R$ 1.343,75"
Fortaleza,2017,Mulher,Preta,Médio completo ou equivalente,"R$ 1.447,44"
Fortaleza,2017,Homem,Branca,Superior incompleto ou equivalente,"R$ 5.118,45"
Fortaleza,2017,Homem,Parda,Superior incompleto ou equivalente,"R$ 3.917,41"
Fortaleza,2017,Homem,Preta,Superior incompleto ou equivalente,"R$ 1.412,59"
Fortaleza,2017,Mulher,Branca,Superior incompleto ou equivalente,"R$ 2.524,55"
Fortaleza,2017,Mulher,Parda,Superior incompleto ou equivalente,"R$ 2.065,35"
Fortaleza,2017,Mulher,Preta,Superior incompleto ou equivalente,"R$ 1.614,07"
Fortaleza,2017,Homem,Branca,Superior completo,"R$ 9.991,24"
Fortaleza,2017,Homem,Outros,Superior completo,"R$ 5.311,25"
Fortaleza,2017,Homem,Parda,Superior completo,"R$ 7.466,02"
Fortaleza,2017,Homem,Preta,Superior completo,"R$ 3.519,96"
Fortaleza,2017,Mulher,Branca,Superior completo,"R$ 6.814,79"
Fortaleza,2017,Mulher,Outros,Superior completo,"R$ 3.383,14"
Fortaleza,2017,Mulher,Parda,Superior completo,"R$ 4.207,37"
Fortaleza,2017,Mulher,Preta,Superior completo,"R$ 6.855,52"
Fortaleza,2018,Homem,Branca,Sem instrução e menos de 1 ano de estudo,"R$ 574,77"
Fortaleza,2018,Homem,Parda,Sem instrução e menos de 1 ano de estudo,"R$ 1.405,76"
Fortaleza,2018,Homem,Preta,Sem instrução e menos de 1 ano de estudo,"R$ 1.574,00"
Fortaleza,2018,Mulher,Branca,Sem instrução e menos de 1 ano de estudo,"R$ 1.266,15"
Fortaleza,2018,Mulher,Parda,Sem instrução e menos de 1 ano de estudo,"R$ 1.146,04"
Fortaleza,2018,Mulher,Preta,Sem instrução e menos de 1 ano de estudo,"R$ 227,97"
Fortaleza,2018,Homem,Branca,Fundamental incompleto ou equivalente,"R$ 1.361,28"
Fortaleza,2018,Homem,Outros,Fundamental incompleto ou equivalente,"R$ 1.257,01"
Fortaleza,2018,Homem,Parda,Fundamental incompleto ou equivalente,"R$ 1.515,36"
Fortaleza,2018,Homem,Preta,Fundamental incompleto ou equivalente,"R$ 1.465,06"
Fortaleza,2018,Mulher,Branca,Fundamental incompleto ou equivalente,"R$ 1.161,94"
Fortaleza,2018,Mulher,Outros,Fundamental incompleto ou equivalente,"R$ 2.599,66"
